Id,Unvan,Ogrenim,HizmetYýlý,GostergePuan,EkGostergePuan,YanOdemePuan,OzelHizmetPuan,Derece,DengeOran,DengeDerece
1,Hemþire,Lisans,0,660,1400,1700,94,8-1,90,8
2,Hemþire,Lisans,1,675,1400,1700,94,8-2,90,8
3,Hemþire,Lisans,2,690,1400,1700,94,8-3,90,8
4,Hemþire,Lisans,3,705,1500,1700,94,7-1,90,8
5,Hemþire,Lisans,4,720,1500,1700,94,7-2,90,8
6,Hemþire,Lisans,5,740,1500,1700,94,7-3,90,8
7,Hemþire,Lisans,6,760,1700,1700,94,6-1,95,7
8,Hemþire,Lisans,7,785,1700,1700,94,6-2,95,7
9,Hemþire,Lisans,8,810,1700,1700,94,6-3,95,7
10,Hemþire,Lisans,9,835,1800,1700,94,5-1,95,7
11,Hemþire,Lisans,10,865,1800,1700,94,5-2,95,7
12,Hemþire,Lisans,11,895,1800,1700,94,5-3,95,7
13,Hemþire,Lisans,12,915,2100,1700,97,4-1,95,7
14,Hemþire,Lisans,13,950,2100,1700,97,4-2,95,7
15,Hemþire,Lisans,14,985,2100,1700,97,4-3,95,7
16,Hemþire,Lisans,15,1020,2200,1700,97,3-1,105,4
17,Hemþire,Lisans,16,1065,2200,1700,97,3-2,105,4
18,Hemþire,Lisans,17,1110,2200,1700,97,3-3,105,4
19,Hemþire,Lisans,18,1155,3000,1700,97,2-1,105,4
20,Hemþire,Lisans,19,1210,3000,1700,97,2-2,105,4
21,Hemþire,Lisans,20,1265,3000,1700,97,2-3,105,4
22,Hemþire,Lisans,21,1320,3600,1700,97,1-1,115,2
23,Hemþire,Lisans,22,1380,3600,1700,97,1-2,115,2
24,Hemþire,Lisans,23,1440,3600,1700,97,1-3,115,2
25,Hemþire,Lisans,24,1500,3600,1700,97,1-4,115,2
26,Hemþire,Lisans,25,1500,3600,1700,97,1-4,115,2
27,Hemþire,Lisans,26,1500,3600,1700,97,1-4,115,2
28,Hemþire,Lisans,27,1500,3600,1700,97,1-4,115,2
29,Hemþire,Lisans,28,1500,3600,1700,97,1-4,115,2
30,Hemþire,Lisans,29,1500,3600,1700,97,1-4,115,2
31,Hemþire,Lisans,30,1500,3600,1700,97,1-4,115,2
32,Hemþire,Ön Lisans,0,600,,1700,88,10-2,90,10
33,Hemþire,Ön Lisans,1,610,,1700,88,10-3,90,10
34,Hemþire,Ön Lisans,2,620,,1700,88,9-1,90,10
35,Hemþire,Ön Lisans,3,630,,1700,88,9-2,90,10
36,Hemþire,Ön Lisans,4,645,,1700,88,9-3,90,10
37,Hemþire,Ön Lisans,5,660,1400,1700,88,8-1,90,10
38,Hemþire,Ön Lisans,6,675,1400,1700,88,8-2,90,10
39,Hemþire,Ön Lisans,7,690,1400,1700,88,8-3,90,10
40,Hemþire,Ön Lisans,8,705,1500,1700,88,7-1,95,7
41,Hemþire,Ön Lisans,9,720,1500,1700,88,7-2,95,7
42,Hemþire,Ön Lisans,10,740,1500,1700,88,7-3,95,7
43,Hemþire,Ön Lisans,11,760,1700,1700,88,6-1,95,7
44,Hemþire,Ön Lisans,12,785,1700,1700,88,6-2,95,7
45,Hemþire,Ön Lisans,13,810,1700,1700,88,6-3,95,7
