Id,Unvan,Ogrenim,HizmetYılı,GostergePuan,EkGostergePuan,YanOdemePuan,OzelHizmetPuan,Derece,DengeOran,DengeDerece
1,Hemşire,Lisans,0,660,1400,1700,94,8-1,90,8
2,Hemşire,Lisans,1,675,1400,1700,94,8-2,90,8
3,Hemşire,Lisans,2,690,1400,1700,94,8-3,90,8
4,Hemşire,Lisans,3,705,1500,1700,94,7-1,90,8
5,Hemşire,Lisans,4,720,1500,1700,94,7-2,90,8
6,Hemşire,Lisans,5,740,1500,1700,94,7-3,90,8
7,Hemşire,Lisans,6,760,1700,1700,94,6-1,95,7
8,Hemşire,Lisans,7,785,1700,1700,94,6-2,95,7
9,Hemşire,Lisans,8,810,1700,1700,94,6-3,95,7
10,Hemşire,Lisans,9,835,1800,1700,94,5-1,95,7
11,Hemşire,Lisans,10,865,1800,1700,94,5-2,95,7
12,Hemşire,Lisans,11,895,1800,1700,94,5-3,95,7
13,Hemşire,Lisans,12,915,2100,1700,97,4-1,95,7
14,Hemşire,Lisans,13,950,2100,1700,97,4-2,95,7
15,Hemşire,Lisans,14,985,2100,1700,97,4-3,95,7
16,Hemşire,Lisans,15,1020,2200,1700,97,3-1,105,4
17,Hemşire,Lisans,16,1065,2200,1700,97,3-2,105,4
18,Hemşire,Lisans,17,1110,2200,1700,97,3-3,105,4
19,Hemşire,Lisans,18,1155,3000,1700,97,2-1,105,4
20,Hemşire,Lisans,19,1210,3000,1700,97,2-2,105,4
21,Hemşire,Lisans,20,1265,3000,1700,97,2-3,105,4
22,Hemşire,Lisans,21,1320,3600,1700,97,1-1,115,2
23,Hemşire,Lisans,22,1380,3600,1700,97,1-2,115,2
24,Hemşire,Lisans,23,1440,3600,1700,97,1-3,115,2
25,Hemşire,Lisans,24,1500,3600,1700,97,1-4,115,2
26,Hemşire,Lisans,25,1500,3600,1700,97,1-4,115,2
27,Hemşire,Lisans,26,1500,3600,1700,97,1-4,115,2
28,Hemşire,Lisans,27,1500,3600,1700,97,1-4,115,2
29,Hemşire,Lisans,28,1500,3600,1700,97,1-4,115,2
30,Hemşire,Lisans,29,1500,3600,1700,97,1-4,115,2
31,Hemşire,Lisans,30,1500,3600,1700,97,1-4,115,2
32,Hemşire,Ön Lisans,0,600,,1700,88,10-2,90,10
33,Hemşire,Ön Lisans,1,610,,1700,88,10-3,90,10
34,Hemşire,Ön Lisans,2,620,,1700,88,9-1,90,10
35,Hemşire,Ön Lisans,3,630,,1700,88,9-2,90,10
36,Hemşire,Ön Lisans,4,645,,1700,88,9-3,90,10
37,Hemşire,Ön Lisans,5,660,1400,1700,88,8-1,90,10
38,Hemşire,Ön Lisans,6,675,1400,1700,88,8-2,90,10
39,Hemşire,Ön Lisans,7,690,1400,1700,88,8-3,90,10
40,Hemşire,Ön Lisans,8,705,1500,1700,88,7-1,95,7
41,Hemşire,Ön Lisans,9,720,1500,1700,88,7-2,95,7
42,Hemşire,Ön Lisans,10,740,1500,1700,88,7-3,95,7
43,Hemşire,Ön Lisans,11,760,1700,1700,88,6-1,95,7
